,id,comment_text,label,pred,tag
19916,7ab55f5165ed9291,"The failure of Fagreterion 

Fagreterion can't stop me!",0,1,FP
6032,0be7965b23078261,"""Just face the truth: you can't escape it!==
User:Arilang1234 didn't edit your foul, slimy racist template, you loser. I suggest that YOU stop pretending that Manchus are ethnically Chinese. How about YOU face the undeniable truth?

And how about YOU stop making false accusations about other users?   

Following the blocking of the above user, I am very surprised that you haven't been blocked from editing Wikipedia as well given that your Manchu ethnicity template itself (as created by you) is also a blatant violation of Wikipedia policy. 96.9.180.213  

Barnstar
  The Monkey's Barnstar For pushing forward fringe views on Wikipedia, especially your foul, slimy, racist view that Manchus are ethnically Chinese. You have proven yourself to be more barbaric than this monkey. Here's a banana.

Congratulations for acting like a monkey!
Wow, so you have managed to earn The Monkey's Barnstar. You must be highly barbaric then. 209.162.35.64  

Stop making false accusations
Congratulations for calling User 77.182.67.105 the """"h word"""". Well I have news for you: User 77.182.67.105 is not ethnically Chinese. So just face the truth and stop name-calling, you racist Manchu! Otherwise, I will get my meatpuppets to stop you in your tracks!   

==""",0,1,FP
7878,7f0f1a7286ecbc51,"hayyyyyyyyy 

yeah this karoolzzz hay k hayyyyyyy i remember",0,1,FP
5619,d1495b979d59dd6b,BUT User:Amortias i didnt attack you. Is it A-MORE-SHOUS or A-MORE-TEE-AS,0,1,FP
26972,96b055eca6cc56b0,a debate to see why he was so virulently anti-Zionist,0,1,FP
5618,f97e67368b5eee9d,"Well, I seemed to be able to change it just fine... Right here. I changed it back just in case someone wanted to bitch at me, but its possible. Just revert the Mantyke article back to this edit, and redirect the entire Tamanta page to Mantyke.",0,1,FP
1524,289b9ebd8ee46b91,This article is useless without pics,0,1,FP
1404,282496af62d8cfb5,"You are asking to be reported for abusing admin privileges. If you think removing valuable data from a long standing article after a couple of hours biased chit chat between friends on the talk page are valid good faith edits, you need to start doing some serious rethinking of what possible purpose you even serve on wikipedia. Considering that i wrote the majority of the article and all you and your buddies have done is try to trash it, saying that i am disruptive is quite ignorant.",0,1,FP
23614,b507b043304079b4,""":: Hah! and lol. U can't quote from wikipedia thats cheating! Besides, its a matter of perspective, U didnt make it up and the person who did didn't actually specify now did they? I am having lots of laughs. Besides, laughs out loud is not in the first person form so doesn't make sense to tell someone """" oh loughs out loud"""".  

""",0,1,FP
14032,efb061b4a82cf925,"Wikipedia is like a big playground with kids running around running around, don't you guys ever do your homework and wash the dishes for mom.",0,1,FP
11497,aa956310577db5ac,Men's Right Activists: Fighting Feminazis by acting EXACTLY THE FRICKING SAME =) Wahh wahh I'm oppressed I know u r but what am I wahh wahh... sorry guys but I don't get how you are supposed to prove your superiority to a group by turning yourself into a caricature of it,0,1,FP
